时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 10:47:19.313,COM4, -0.031, 0.135, 0.980, -1.465, -0.549, -0.122, 7.773, 1.758, -127.018, 47.36,
 10:47:19.314,COM4, -0.031, 0.136, 0.978, -0.854, -1.770, -0.183, 7.767, 1.741, -127.018, 47.37,
 10:47:19.314,COM4, -0.022, 0.136, 0.978, -0.854, -1.770, -0.183, 7.756, 1.725, -127.024, 47.37,
 10:47:19.314,COM4, -0.022, 0.136, 0.979, -0.549, -1.953, -0.061, 7.756, 1.703, -127.029, 47.36,
 10:47:19.314,COM4, -0.019, 0.136, 0.979, -0.549, -1.953, -0.061, 7.751, 1.681, -127.029, 47.36,
 10:47:19.314,COM4, -0.019, 0.135, 0.979, -0.305, -1.465, -0.122, 7.751, 1.664, -127.035, 47.37,
 10:47:19.314,COM4, -0.032, 0.135, 0.979, -0.305, -1.465, -0.122, 7.751, 1.653, -127.035, 47.37,
 10:47:19.314,COM4, -0.032, 0.126, 0.982, 3.601, -2.197, -0.671, 7.784, 1.631, -127.046, 47.35,
 10:47:19.314,COM4, -0.005, 0.126, 0.982, 3.601, -2.197, -0.671, 7.822, 1.609, -127.057, 47.35,
 10:47:19.408,COM4, -0.005, 0.140, 0.978, 5.371, -1.465, -0.793, 7.877, 1.593, -127.068, 47.35,
 10:47:19.408,COM4, -0.010, 0.140, 0.978, 5.371, -1.465, -0.793, 7.927, 1.577, -127.073, 47.35,
 10:47:19.408,COM4, -0.010, 0.143, 0.979, 2.686, 1.038, -1.038, 7.954, 1.588, -127.084, 47.36,
 10:47:19.408,COM4, -0.026, 0.143, 0.979, 2.686, 1.038, -1.038, 7.982, 1.599, -127.090, 47.36,
 10:47:19.408,COM4, -0.026, 0.140, 0.975, 1.160, 1.465, -0.793, 7.993, 1.609, -127.095, 47.37,
 10:47:19.408,COM4, -0.029, 0.140, 0.975, 1.160, 1.465, -0.793, 8.004, 1.626, -127.101, 47.37,
 10:47:19.408,COM4, -0.029, 0.140, 0.976, 0.732, -0.305, -0.732, 8.015, 1.620, -127.112, 47.35,
 10:47:19.408,COM4, -0.026, 0.140, 0.976, 0.732, -0.305, -0.732, 8.020, 1.615, -127.117, 47.35,
 10:47:19.408,COM4, -0.026, 0.142, 0.980, -0.366, -0.366, -1.282, 8.015, 1.609, -127.134, 47.36,
 10:47:19.501,COM4, -0.031, 0.142, 0.980, -0.366, -0.366, -1.282, 8.015, 1.609, -127.145, 47.36,
 10:47:19.501,COM4, -0.031, 0.136, 0.979, 0.000, -1.221, -2.319, 8.009, 1.599, -127.167, 47.36,
 10:47:19.501,COM4, -0.028, 0.136, 0.979, 0.000, -1.221, -2.319, 8.009, 1.588, -127.194, 47.36,
 10:47:19.501,COM4, -0.028, 0.130, 0.987, -0.366, -2.197, -3.113, 8.009, 1.571, -127.227, 47.35,
 10:47:19.501,COM4, -0.018, 0.130, 0.987, -0.366, -2.197, -3.113, 8.004, 1.555, -127.260, 47.35,
 10:47:19.501,COM4, -0.018, 0.107, 0.984, 2.808, -2.747, -4.028, 8.026, 1.533, -127.304, 47.36,
 10:47:19.501,COM4, -0.052, 0.107, 0.984, 2.808, -2.747, -4.028, 8.053, 1.511, -127.348, 47.36,
 10:47:19.501,COM4, -0.052, 0.096, 0.984, 9.399, -2.136, -6.165, 8.141, 1.494, -127.414, 47.34,
 10:47:19.583,COM4, -0.063, 0.096, 0.984, 9.399, -2.136, -6.165, 8.229, 1.483, -127.474, 47.34,
 10:47:19.583,COM4, -0.063, 0.091, 0.996, 11.108, -12.634, -7.629, 8.328, 1.373, -127.568, 47.37,
 10:47:19.583,COM4, -0.031, 0.091, 0.996, 11.108, -12.634, -7.629, 8.432, 1.263, -127.661, 47.37,
 10:47:19.583,COM4, -0.031, 0.075, 1.016, 9.827, -15.259, -16.663, 8.514, 1.143, -127.848, 47.35,
 10:47:19.583,COM4, -0.026, 0.075, 1.016, 9.827, -15.259, -16.663, 8.597, 1.022, -128.035, 47.35,
 10:47:19.583,COM4, -0.026, -0.008, 1.024, 10.437, -0.366, -42.297, 8.674, 1.088, -128.452, 47.37,
 10:47:19.583,COM4, -0.047, -0.008, 1.024, 10.437, -0.366, -42.297, 8.751, 1.154, -128.875, 47.37,
 10:47:19.583,COM4, -0.047, 0.068, 0.997, 23.560, 8.545, -40.527, 8.954, 1.302, -129.260, 47.36,
 10:47:19.583,COM4, -0.020, 0.068, 0.997, 23.560, 8.545, -40.527, 9.157, 1.456, -129.644, 47.36,
 10:47:19.663,COM4, -0.020, 0.079, 0.972, 27.710, 16.357, -46.204, 9.393, 1.692, -130.078, 47.35,
 10:47:19.663,COM4, -0.042, 0.079, 0.972, 27.710, 16.357, -46.204, 9.630, 1.934, -130.507, 47.35,
 10:47:19.663,COM4, -0.042, 0.137, 0.942, 26.489, 24.658, -40.710, 9.849, 2.241, -130.864, 47.37,
 10:47:19.663,COM4, -0.085, 0.137, 0.942, 26.489, 24.658, -40.710, 10.074, 2.554, -131.226, 47.37,
 10:47:19.663,COM4, -0.085, 0.196, 0.901, 22.705, 45.654, -24.658, 10.267, 3.043, -131.385, 47.35,
 10:47:19.663,COM4, -0.112, 0.196, 0.901, 22.705, 45.654, -24.658, 10.459, 3.532, -131.550, 47.35,
 10:47:19.663,COM4, -0.112, 0.340, 0.963, 10.620, 62.256, -14.893, 10.547, 4.164, -131.583, 47.37,
 10:47:19.663,COM4, -0.114, 0.340, 0.963, 10.620, 62.256, -14.893, 10.640, 4.796, -131.616, 47.37,
 10:47:19.663,COM4, -0.114, 0.373, 0.888, -10.010, 56.580, -16.052, 10.536, 5.367, -131.671, 47.36,
 10:47:19.758,COM4, -0.192, 0.373, 0.888, -10.010, 56.580, -16.052, 10.432, 5.944, -131.726, 47.36,
 10:47:19.758,COM4, -0.192, 0.461, 0.899, -25.513, 8.484, -21.423, 10.173, 6.053, -131.924, 47.35,
 10:47:19.758,COM4, -0.202, 0.461, 0.899, -25.513, 8.484, -21.423, 9.921, 6.169, -132.122, 47.35,
 10:47:19.758,COM4, -0.202, 0.482, 0.922, -46.326, -53.528, -25.208, 9.459, 5.685, -132.462, 47.36,
 10:47:19.758,COM4, -0.168, 0.482, 0.922, -46.326, -53.528, -25.208, 9.009, 5.202, -132.803, 47.36,
 10:47:19.758,COM4, -0.168, 0.294, 0.959, -62.134, -93.201, -27.344, 8.405, 4.334, -133.220, 47.35,
 10:47:19.758,COM4, 0.009, 0.294, 0.959, -62.134, -93.201, -27.344, 7.811, 3.472, -133.627, 47.35,
 10:47:19.758,COM4, 0.009, 0.130, 0.993, -63.293, -96.252, -26.001, 7.213, 2.571, -134.017, 47.35,
 10:47:19.758,COM4, 0.203, 0.130, 0.993, -63.293, -96.252, -26.001, 6.619, 1.670, -134.396, 47.35,
 10:47:19.852,COM4, 0.203, 0.058, 1.003, -58.533, -65.186, -17.151, 6.075, 1.060, -134.643, 47.36,
 10:47:19.852,COM4, 0.322, 0.058, 1.003, -58.533, -65.186, -17.151, 5.537, 0.445, -134.885, 47.36,
 10:47:19.852,COM4, 0.322, -0.075, 1.018, -52.490, -9.338, -28.992, 5.021, 0.099, -135.159, 47.37,
 10:47:19.852,COM4, 0.097, -0.075, 1.018, -52.490, -9.338, -28.992, 4.532, 0.027, -135.461, 47.37,
 10:47:19.852,COM4, 0.097, -0.078, 0.987, -41.687, 19.104, -44.617, 4.087, 0.088, -135.829, 47.36,
 10:47:19.852,COM4, 0.223, -0.078, 0.987, -41.687, 19.104, -44.617, 3.691, 0.291, -136.263, 47.36,
 10:47:19.852,COM4, 0.223, -0.024, 1.015, -38.147, 46.448, -51.208, 3.312, 0.626, -136.730, 47.37,
 10:47:19.852,COM4, 0.418, -0.024, 1.015, -38.147, 46.448, -51.208, 2.939, 1.088, -137.219, 47.37,
 10:47:19.852,COM4, 0.418, -0.165, 1.041, -16.418, 113.770, -48.645, 2.664, 1.873, -137.686, 47.36,
 10:47:19.935,COM4, 0.047, -0.165, 1.041, -16.418, 113.770, -48.645, 2.488, 2.972, -138.126, 47.36,
 10:47:19.935,COM4, 0.047, -0.076, 0.973, 6.287, 188.477, -50.293, 2.411, 4.433, -138.560, 47.36,
 10:47:19.935,COM4, -0.811, -0.076, 0.973, 6.287, 188.477, -50.293, 2.428, 6.257, -138.994, 47.36,
 10:47:19.935,COM4, -0.811, 0.361, 0.863, 1.526, 144.470, -54.626, 2.406, 7.861, -139.455, 47.35,
 10:47:19.935,COM4, -0.686, 0.361, 0.863, 1.526, 144.470, -54.626, 2.357, 9.272, -139.949, 47.35,
 10:47:19.935,COM4, -0.686, 0.407, 0.938, -34.058, 31.311, -75.500, 2.104, 10.135, -140.576, 47.36,
 10:47:19.935,COM4, -0.062, 0.407, 0.938, -34.058, 31.311, -75.500, 1.659, 10.453, -141.339, 47.36,
 10:47:19.935,COM4, -0.062, 0.103, 1.054, -74.463, 8.667, -87.036, 1.011, 10.668, -142.163, 47.37,
 10:47:20.015,COM4, 0.142, 0.103, 1.054, -74.463, 8.667, -87.036, 0.148, 10.750, -143.053, 47.37,
 10:47:20.015,COM4, 0.142, 0.012, 0.995, -84.839, 78.186, -64.392, -0.736, 11.168, -143.828, 47.36,
 10:47:20.015,COM4, -0.484, 0.012, 0.995, -84.839, 78.186, -64.392, -1.670, 11.904, -144.503, 47.36,
 10:47:20.015,COM4, -0.484, -0.260, 0.909, -75.317, 77.148, -41.504, -2.543, 12.618, -145.074, 47.35,
 10:47:20.015,COM4, -0.414, -0.260, 0.909, -75.317, 77.148, -41.504, -3.356, 13.337, -145.541, 47.35,
 10:47:20.015,COM4, -0.414, -0.264, 0.900, -68.604, -0.916, -7.629, -4.103, 13.683, -145.816, 47.36,
 10:47:20.015,COM4, 0.019, -0.264, 0.900, -68.604, -0.916, -7.629, -4.779, 13.656, -145.893, 47.36,
 10:47:20.015,COM4, 0.019, -0.132, 0.974, -59.570, 3.113, 5.005, -5.394, 13.656, -145.909, 47.36,
 10:47:20.015,COM4, -0.184, -0.132, 0.974, -59.570, 3.113, 5.005, -5.955, 13.672, -145.860, 47.36,
 10:47:20.113,COM4, -0.184, -0.019, 0.957, -55.115, 51.941, -10.681, -6.515, 13.925, -145.920, 47.36,
 10:47:20.113,COM4, -0.331, -0.019, 0.957, -55.115, 51.941, -10.681, -7.081, 14.403, -146.096, 47.36,
 10:47:20.113,COM4, -0.331, -0.013, 0.953, -49.438, 49.500, -29.785, -7.641, 14.854, -146.371, 47.35,
 10:47:20.113,COM4, -0.304, -0.013, 0.953, -49.438, 49.500, -29.785, -8.190, 15.276, -146.744, 47.35,
 10:47:20.113,COM4, -0.304, -0.139, 0.947, -50.354, 34.058, -34.058, -8.756, 15.623, -147.134, 47.36,
 10:47:20.113,COM4, -0.255, -0.139, 0.947, -50.354, 34.058, -34.058, -9.327, 15.886, -147.535, 47.36,
 10:47:20.113,COM4, -0.255, -0.214, 0.914, -47.241, 30.518, -27.100, -9.877, 16.133, -147.903, 47.37,
 10:47:20.113,COM4, -0.306, -0.214, 0.914, -47.241, 30.518, -27.100, -10.410, 16.370, -148.239, 47.37,
 10:47:20.113,COM4, -0.306, -0.318, 0.882, -38.513, 31.433, -17.334, -10.882, 16.611, -148.524, 47.37,
 10:47:20.193,COM4, -0.255, -0.318, 0.882, -38.513, 31.433, -17.334, -11.310, 16.875, -148.760, 47.37,
 10:47:20.193,COM4, -0.255, -0.270, 0.926, -31.982, 45.410, -9.583, -11.706, 17.205, -148.980, 47.36,
 10:47:20.193,COM4, -0.428, -0.270, 0.926, -31.982, 45.410, -9.583, -12.063, 17.611, -149.172, 47.36,
 10:47:20.193,COM4, -0.428, -0.110, 0.920, -35.828, 50.659, -19.226, -12.458, 18.034, -149.425, 47.35,
 10:47:20.193,COM4, -0.366, -0.110, 0.920, -35.828, 50.659, -19.226, -12.892, 18.468, -149.738, 47.35,
 10:47:20.193,COM4, -0.366, -0.165, 0.928, -42.175, 34.668, -27.954, -13.365, 18.814, -150.079, 47.36,
 10:47:20.193,COM4, -0.275, -0.165, 0.928, -42.175, 34.668, -27.954, -13.881, 19.078, -150.452, 47.36,
 10:47:20.193,COM4, -0.275, -0.315, 0.906, -41.199, 45.898, -25.452, -14.392, 19.391, -150.826, 47.36,
 10:47:20.193,COM4, -0.392, -0.315, 0.906, -41.199, 45.898, -25.452, -14.903, 19.753, -151.205, 47.36,
 10:47:20.288,COM4, -0.392, -0.233, 0.900, -42.480, 55.298, -33.264, -15.447, 20.149, -151.644, 47.36,
 10:47:20.288,COM4, -0.499, -0.233, 0.900, -42.480, 55.298, -33.264, -16.018, 20.577, -152.144, 47.36,
 10:47:20.288,COM4, -0.499, -0.244, 0.836, -39.307, 43.579, -44.434, -16.595, 20.929, -152.688, 47.35,
 10:47:20.288,COM4, -0.608, -0.244, 0.836, -39.307, 43.579, -44.434, -17.172, 21.204, -153.276, 47.35,
 10:47:20.288,COM4, -0.608, -0.389, 0.801, -47.119, 11.902, -49.744, -17.781, 21.324, -153.842, 47.36,
 10:47:20.288,COM4, -0.405, -0.389, 0.801, -47.119, 11.902, -49.744, -18.424, 21.292, -154.385, 47.36,
 10:47:20.288,COM4, -0.405, -0.326, 0.906, -63.110, 0.488, -51.331, -19.149, 21.198, -154.918, 47.35,
 10:47:20.288,COM4, -0.459, -0.326, 0.906, -63.110, 0.488, -51.331, -19.940, 21.044, -155.435, 47.35,
 10:47:20.288,COM4, -0.459, -0.350, 0.848, -68.970, -6.226, -51.086, -20.753, 20.852, -155.934, 47.36,
 10:47:20.365,COM4, -0.469, -0.350, 0.848, -68.970, -6.226, -51.086, -21.588, 20.627, -156.418, 47.36,
 10:47:20.365,COM4, -0.469, -0.328, 0.852, -74.829, -23.499, -68.054, -22.462, 20.286, -156.945, 47.36,
 10:47:20.365,COM4, -0.366, -0.328, 0.852, -74.829, -23.499, -68.054, -23.368, 19.836, -157.516, 47.36,
 10:47:20.365,COM4, -0.366, -0.481, 0.763, -66.956, -33.325, -89.722, -24.258, 19.286, -158.159, 47.35,
 10:47:20.365,COM4, -0.322, -0.481, 0.763, -66.956, -33.325, -89.722, -25.126, 18.638, -158.873, 47.35,
 10:47:20.365,COM4, -0.322, -0.660, 0.673, -51.514, -23.071, -98.389, -25.933, 18.018, -159.642, 47.36,
 10:47:20.365,COM4, -0.238, -0.660, 0.673, -51.514, -23.071, -98.389, -26.680, 17.408, -160.461, 47.36,
 10:47:20.365,COM4, -0.238, -0.754, 0.674, -29.419, -12.878, -86.487, -27.301, 16.864, -161.235, 47.37,
 10:47:20.461,COM4, -0.215, -0.754, 0.674, -29.419, -12.878, -86.487, -27.806, 16.386, -161.977, 47.37,
 10:47:20.461,COM4, -0.215, -0.649, 0.841, -11.292, -26.306, -79.285, -28.207, 15.859, -162.642, 47.36,
 10:47:20.461,COM4, -0.191, -0.649, 0.841, -11.292, -26.306, -79.285, -28.493, 15.282, -163.235, 47.36,
 10:47:20.461,COM4, -0.191, -0.880, 0.546, -19.470, 7.202, -62.866, -28.823, 14.881, -163.834, 47.36,
 10:47:20.461,COM4, -0.537, -0.880, 0.546, -19.470, 7.202, -62.866, -29.202, 14.667, -164.438, 47.36,
 10:47:20.461,COM4, -0.537, -1.045, 0.279, -31.067, 44.495, -49.683, -29.663, 14.639, -165.075, 47.35,
 10:47:20.461,COM4, -0.256, -1.045, 0.279, -31.067, 44.495, -49.683, -30.212, 14.810, -165.745, 47.35,
 10:47:20.461,COM4, -0.256, -0.957, 0.450, -29.419, 99.365, -41.565, -30.806, 15.227, -166.525, 47.36,
 10:47:20.461,COM4, -0.332, -0.957, 0.450, -29.419, 99.365, -41.565, -31.432, 15.892, -167.426, 47.36,
 10:47:20.540,COM4, -0.332, -0.899, 0.610, -32.288, 128.784, -27.405, -32.102, 16.694, -168.360, 47.36,
 10:47:20.541,COM4, -0.366, -0.899, 0.610, -32.288, 128.784, -27.405, -32.811, 17.650, -169.327, 47.36,
 10:47:20.541,COM4, -0.366, -0.872, 0.623, -33.447, 125.366, -15.564, -33.525, 18.600, -170.250, 47.37,
 10:47:20.541,COM4, -0.398, -0.872, 0.623, -33.447, 125.366, -15.564, -34.244, 19.550, -171.134, 47.37,
 10:47:20.541,COM4, -0.398, -0.867, 0.543, -37.170, 128.479, -4.822, -34.986, 20.533, -172.002, 47.35,
 10:47:20.541,COM4, -0.413, -0.867, 0.543, -37.170, 128.479, -4.822, -35.760, 21.544, -172.853, 47.35,
 10:47:20.541,COM4, -0.413, -0.849, 0.530, -39.429, 130.432, 2.930, -36.552, 22.566, -173.699, 47.36,
 10:47:20.541,COM4, -0.355, -0.849, 0.530, -39.429, 130.432, 2.930, -37.365, 23.610, -174.540, 47.36,
 10:47:20.541,COM4, -0.355, -0.813, 0.538, -33.813, 133.362, 9.705, -38.167, 24.664, -175.391, 47.37,
 10:47:20.638,COM4, -0.395, -0.813, 0.538, -33.813, 133.362, 9.705, -38.952, 25.735, -176.248, 47.37,
 10:47:20.638,COM4, -0.395, -0.754, 0.490, -31.799, 131.409, 13.123, -39.743, 26.796, -177.105, 47.36,
 10:47:20.638,COM4, -0.500, -0.754, 0.490, -31.799, 131.409, 13.123, -40.534, 27.845, -177.973, 47.36,
 10:47:20.638,COM4, -0.500, -0.725, 0.438, -31.555, 120.239, 20.996, -41.309, 28.867, -178.786, 47.37,
 10:47:20.638,COM4, -0.588, -0.725, 0.438, -31.555, 120.239, 20.996, -42.067, 29.861, -179.550, 47.37,
 10:47:20.638,COM4, -0.588, -0.669, 0.441, -38.269, 97.107, 28.748, -42.819, 30.784, 179.780, 47.36,
 10:47:20.638,COM4, -0.580, -0.669, 0.441, -38.269, 97.107, 28.748, -43.555, 31.646, 179.214, 47.36,
 10:47:20.638,COM4, -0.580, -0.593, 0.391, -51.025, 91.553, 28.809, -44.352, 32.487, 178.660, 47.36,
 10:47:20.638,COM4, -0.651, -0.593, 0.391, -51.025, 91.553, 28.809, -45.214, 33.300, 178.105, 47.36,
 10:47:20.717,COM4, -0.651, -0.503, 0.310, -70.801, 77.026, 25.146, -46.159, 34.047, 177.583, 47.36,
 10:47:20.717,COM4, -0.649, -0.503, 0.310, -70.801, 77.026, 25.146, -47.192, 34.733, 177.083, 47.36,
 10:47:20.717,COM4, -0.649, -0.456, 0.301, -93.384, 65.674, 19.043, -48.329, 35.354, 176.594, 47.35,
 10:47:20.717,COM4, -0.740, -0.456, 0.301, -93.384, 65.674, 19.043, -49.565, 35.909, 176.111, 47.35,
 10:47:20.717,COM4, -0.740, -0.444, 0.363, -111.755, 49.438, 14.648, -50.872, 36.398, 175.671, 47.36,
 10:47:20.717,COM4, -0.775, -0.444, 0.363, -111.755, 49.438, 14.648, -52.229, 36.815, 175.276, 47.36,
 10:47:20.717,COM4, -0.775, -0.417, 0.451, -128.967, 8.972, 11.047, -53.558, 37.101, 175.056, 47.36,
 10:47:20.717,COM4, -0.823, -0.417, 0.451, -128.967, 8.972, 11.047, -54.855, 37.255, 175.018, 47.36,
 10:47:20.843,COM4, -0.823, -0.421, 0.604, -139.282, -10.071, 17.944, -56.107, 37.392, 175.106, 47.37,
 10:47:20.843,COM4, -0.716, -0.421, 0.604, -139.282, -10.071, 17.944, -57.327, 37.507, 175.309, 47.37,
 10:47:20.843,COM4, -0.716, -0.408, 0.745, -152.832, -32.043, 19.836, -58.519, 37.579, 175.633, 47.36,
 10:47:20.843,COM4, -0.686, -0.408, 0.745, -152.832, -32.043, 19.836, -59.683, 37.612, 176.083, 47.36,
 10:47:20.843,COM4, -0.686, -0.452, 0.756, -148.621, -71.533, 19.897, -60.677, 37.551, 176.748, 47.36,
 10:47:20.843,COM4, -0.612, -0.452, 0.756, -148.621, -71.533, 19.897, -61.501, 37.403, 177.627, 47.36,
 10:47:20.843,COM4, -0.612, -0.484, 0.893, -117.981, -136.536, 27.771, -61.930, 37.139, 178.896, 47.36,
 10:47:20.843,COM4, -0.474, -0.484, 0.893, -117.981, -136.536, 27.771, -61.979, 36.760, -179.462, 47.36,
 10:47:20.843,COM4, -0.474, -0.433, 0.999, -94.238, -147.522, 32.410, -61.864, 36.365, -177.753, 47.35,
 10:47:20.890,COM4, -0.432, -0.433, 0.999, -94.238, -147.522, 32.410, -61.600, 35.958, -175.984, 47.35,
 10:47:20.890,COM4, -0.432, -0.341, 0.935, -85.815, -115.784, 24.109, -61.408, 35.574, -174.424, 47.36,
 10:47:20.890,COM4, -0.410, -0.341, 0.935, -85.815, -115.784, 24.109, -61.298, 35.222, -173.068, 47.36,
 10:47:20.890,COM4, -0.410, -0.353, 0.842, -88.562, -58.472, 7.202, -61.403, 34.926, -172.073, 47.36,
 10:47:20.890,COM4, -0.515, -0.353, 0.842, -88.562, -58.472, 7.202, -61.721, 34.695, -171.436, 47.36,
 10:47:20.890,COM4, -0.515, -0.375, 0.723, -108.948, -30.273, -22.095, -62.276, 34.398, -171.035, 47.35,
 10:47:20.890,COM4, -0.630, -0.375, 0.723, -108.948, -30.273, -22.095, -63.051, 34.041, -170.865, 47.35,
 10:47:20.890,COM4, -0.630, -0.476, 0.629, -137.024, -61.279, -50.232, -63.913, 33.497, -170.601, 47.36,
 10:47:20.890,COM4, -0.609, -0.476, 0.629, -137.024, -61.279, -50.232, -64.863, 32.767, -170.244, 47.36,
 10:47:20.983,COM4, -0.609, -0.624, 0.614, -151.917, -110.107, -72.083, -65.775, 31.855, -169.673, 47.35,
 10:47:20.983,COM4, -0.354, -0.624, 0.614, -151.917, -110.107, -72.083, -66.660, 30.751, -168.887, 47.35,
 10:47:20.983,COM4, -0.354, -0.700, 0.694, -158.691, -160.889, -74.585, -67.462, 29.559, -167.833, 47.36,
 10:47:20.983,COM4, -0.284, -0.700, 0.694, -158.691, -160.889, -74.585, -68.187, 28.268, -166.514, 47.36,
 10:47:20.983,COM4, -0.284, -0.742, 0.617, -157.349, -168.762, -76.904, -68.923, 26.966, -165.168, 47.36,
 10:47:20.983,COM4, -0.381, -0.742, 0.617, -157.349, -168.762, -76.904, -69.664, 25.653, -163.784, 47.36,
 10:47:20.983,COM4, -0.381, -0.875, 0.458, -146.912, -131.714, -76.843, -70.466, 24.423, -162.598, 47.37,
 10:47:20.983,COM4, -0.347, -0.875, 0.458, -146.912, -131.714, -76.843, -71.323, 23.275, -161.598, 47.37,
 10:47:20.983,COM4, -0.347, -1.017, 0.284, -125.732, -49.500, -76.233, -72.257, 22.269, -161.010, 47.36,
 10:47:21.094,COM4, -0.219, -1.017, 0.284, -125.732, -49.500, -76.233, -73.268, 21.407, -160.834, 47.36,
 10:47:21.094,COM4, -0.219, -1.106, 0.151, -95.947, 78.003, -72.815, -74.366, 20.742, -161.296, 47.36,
 10:47:21.094,COM4, -0.266, -1.106, 0.151, -95.947, 78.003, -72.815, -75.553, 20.248, -162.394, 47.36,
 10:47:21.094,COM4, -0.266, -1.139, 0.070, -72.388, 188.843, -65.369, -76.816, 19.902, -164.042, 47.36,
 10:47:21.094,COM4, -0.285, -1.139, 0.070, -72.388, 188.843, -65.369, -78.151, 19.677, -166.245, 47.36,
 10:47:21.094,COM4, -0.285, -1.130, -0.014, -45.349, 246.765, -52.734, -79.453, 19.517, -168.723, 47.36,
 10:47:21.094,COM4, -0.266, -1.130, -0.014, -45.349, 246.765, -52.734, -80.717, 19.424, -171.486, 47.36,
 10:47:21.094,COM4, -0.266, -1.000, -0.094, -14.343, 257.019, -38.513, -81.843, 19.352, -174.287, 47.36,
 10:47:21.094,COM4, -0.313, -1.000, -0.094, -14.343, 257.019, -38.513, -82.837, 19.308, -177.127, 47.36,
 10:47:21.157,COM4, -0.313, -0.866, -0.072, 0.000, 230.835, -29.541, -83.721, 19.254, -179.824, 47.35,
 10:47:21.157,COM4, -0.313, -0.866, -0.072, 0.000, 230.835, -29.541, -84.485, 19.193, 177.621, 47.35,
 10:47:21.157,COM4, -0.478, -0.866, -0.072, 0.000, 230.835, -29.541, -85.248, 19.105, 175.073, 47.36,
 10:47:21.157,COM4, -0.478, -0.899, -0.125, -2.014, 181.152, -22.217, -85.864, 19.034, 173.062, 47.36,
 10:47:21.157,COM4, -0.513, -0.899, -0.125, -2.014, 181.152, -22.217, -86.479, 18.940, 171.046, 47.36,
 10:47:21.157,COM4, -0.513, -1.011, -0.200, 2.563, 107.727, -13.306, -86.803, 18.891, 169.816, 47.36,
 10:47:21.157,COM4, -0.352, -1.011, -0.200, 2.563, 107.727, -13.306, -87.138, 18.836, 168.591, 47.36,
 10:47:21.157,COM4, -0.352, -1.016, -0.277, 12.085, 56.274, -1.953, -87.204, 18.869, 167.915, 47.36,
 10:47:21.238,COM4, -0.268, -1.016, -0.277, 12.085, 56.274, -1.953, -87.286, 18.896, 167.234, 47.36,
 10:47:21.238,COM4, -0.268, -0.954, -0.307, 13.916, 36.865, 5.798, -87.297, 18.990, 166.767, 47.35,
 10:47:21.238,COM4, -0.203, -0.954, -0.307, 13.916, 36.865, 5.798, -87.314, 19.083, 166.300, 47.35,
 10:47:21.238,COM4, -0.203, -0.906, -0.280, 8.240, 26.978, 9.399, -87.363, 19.199, 165.938, 47.35,
 10:47:21.238,COM4, -0.205, -0.906, -0.280, 8.240, 26.978, 9.399, -87.424, 19.314, 165.575, 47.35,
 10:47:21.238,COM4, -0.205, -0.958, -0.222, -4.944, 32.776, 7.629, -87.638, 19.407, 165.146, 47.36,
 10:47:21.238,COM4, -0.251, -0.958, -0.222, -4.944, 32.776, 7.629, -87.863, 19.495, 164.724, 47.36,
 10:47:21.238,COM4, -0.251, -1.120, -0.188, -17.334, 46.631, -0.183, -88.259, 19.506, 164.147, 47.36,
 10:47:21.238,COM4, -0.299, -1.120, -0.188, -17.334, 46.631, -0.183, -88.654, 19.506, 163.570, 47.36,
 10:47:21.333,COM4, -0.299, -1.161, -0.150, -19.470, 49.683, -10.437, -89.077, 19.402, 162.960, 47.35,
 10:47:21.333,COM4, -0.396, -1.161, -0.150, -19.470, 49.683, -10.437, -89.500, 19.292, 162.350, 47.35,
 10:47:21.333,COM4, -0.396, -1.095, -0.063, -24.353, 25.085, -20.447, -89.879, 19.078, 162.004, 47.36,
 10:47:21.333,COM4, -0.386, -1.095, -0.063, -24.353, 25.085, -20.447, -90.247, 18.869, 161.664, 47.36,
 10:47:21.333,COM4, -0.386, -1.064, -0.030, -28.870, -3.235, -23.193, -90.566, 18.633, 161.620, 47.36,
 10:47:21.333,COM4, -0.260, -1.064, -0.030, -28.870, -3.235, -23.193, -90.873, 18.397, 161.581, 47.36,
 10:47:21.333,COM4, -0.260, -1.113, -0.075, -27.161, 1.465, -16.418, -91.176, 18.232, 161.494, 47.36,
 10:47:21.333,COM4, -0.123, -1.113, -0.075, -27.161, 1.465, -16.418, -91.478, 18.062, 161.406, 47.36,
 10:47:21.333,COM4, -0.123, -1.149, -0.120, -14.954, 23.376, -8.972, -91.725, 17.952, 161.087, 47.36,
 10:47:21.418,COM4, -0.193, -1.149, -0.120, -14.954, 23.376, -8.972, -91.972, 17.842, 160.768, 47.36,
 10:47:21.418,COM4, -0.193, -1.103, -0.128, -6.104, 37.476, -5.005, -92.175, 17.759, 160.302, 47.36,
 10:47:21.418,COM4, -0.316, -1.103, -0.128, -6.104, 37.476, -5.005, -92.379, 17.672, 159.840, 47.36,
 10:47:21.418,COM4, -0.316, -1.021, -0.064, -9.216, 17.273, -2.991, -92.549, 17.617, 159.582, 47.35,
 10:47:21.418,COM4, -0.368, -1.021, -0.064, -9.216, 17.273, -2.991, -92.714, 17.562, 159.329, 47.35,
 10:47:21.418,COM4, -0.368, -1.043, 0.153, -14.038, -22.461, -0.916, -92.796, 17.545, 159.494, 47.36,
